Ranking,Player,2021-22
163,De'Andre Hunter,"$7,775,400"
164,Mo Bamba,"$7,568,742"
165,Tyus Jones,"$7,522,200"
166,Ivica Zubac,"$7,518,518"
167,T.J. McConnell,"$7,500,000"
168,Patrick Williams,"$7,422,000"
169,Scottie Barnes,"$7,280,520"
170,Darius Garland,"$7,040,880"
171,Chris Boucher,"$7,009,615"
172,D.J. Augustin,"$7,622,467"
173,P.J. Tucker,"$7,000,000"
174,Zach Collins,"$6,984,127"
175,Wendell Carter Jr.,"$6,920,027"
176,Isaac Okoro,"$6,720,720"
177,Jalen Suggs,"$6,593,040"
178,Cameron Payne,"$6,500,000"
179,Joakim Noah,"$6,431,666"
180,Jarrett Culver,"$6,395,160"
181,Khem Birch,"$6,350,000"
182,Collin Sexton,"$6,349,671"
183,Juancho Hernangomez,"$6,175,440"
184,Onyeka Okongwu,"$6,104,280"
185,Justin Holiday,"$6,006,420"
186,Josh Giddey,"$5,988,000"
187,Rudy Gay,"$5,890,000"
188,Dennis Schroder,"$5,890,000"
189,Patty Mills,"$5,890,000"
190,Kevin Knox,"$5,845,978"
191,Coby White,"$5,837,760"
192,Timofey Mozgov,"$5,573,334"
193,Killian Hayes,"$5,572,680"
194,Mikal Bridges,"$5,557,725"
195,Shai Gilgeous-Alexander,"$5,495,532"
196,Jonathan Kuminga,"$5,466,360"
197,Miles Bridges,"$5,421,493"
198,Jaxson Hayes,"$5,348,280"
199,Pat Connaughton,"$5,333,333"
200,Michael Porter Jr.,"$5,258,735"
201,Ryan Anderson,"$5,214,584"
202,Hamidou Diallo,"$5,200,000"
203,Kevon Looney,"$5,178,572"
204,Troy Brown Jr.,"$5,170,564"
205,Obi Toppin,"$5,105,160"
206,Franz Wagner,"$5,007,840"
207,Josh Jackson,"$5,005,350"
208,JaVale McGee,"$5,000,000"
209,Robin Lopez,"$5,000,000"
210,Kendrick Nunn,"$5,000,000"
211,Lou Williams,"$5,000,000"
212,Luol Deng,"$4,990,000"
213,Rui Hachimura,"$4,916,160"
214,Garrett Temple,"$4,910,000"
215,Cory Joseph,"$7,310,000"
216,Taj Gibson,"$4,910,000"
217,Torrey Craig,"$4,878,049"
218,Rajon Rondo,"$2,641,691"
219,Bruce Brown,"$4,736,102"
220,Deni Avdija,"$4,692,840"
221,Donte DiVincenzo,"$4,675,830"
222,Cam Reddish,"$4,670,160"
223,David Nwaba,"$4,650,000"
224,Furkan Korkmaz,"$4,629,630"
225,Davion Mitchell,"$4,603,320"
226,Ish Smith,"$4,500,000"
227,Jeff Green,"$4,500,000"
228,Jalen Smith,"$4,458,000"
229,Lonnie Walker IV,"$4,447,896"
230,Cameron Johnson,"$4,437,000"
231,Ziaire Williams,"$4,373,160"
232,Maurice Harkless,"$4,347,600"
233,Bobby Portis,"$4,347,600"
234,Jarred Vanderbilt,"$4,259,259"
235,Kevin Huerter,"$4,253,357"
236,Devin Vassell,"$4,235,160"
237,P.J. Washington,"$4,215,120"
238,James Bouknight,"$4,154,400"
239,Josh Okogie,"$4,087,904"
240,Grayson Allen,"$4,054,695"
241,Tyrese Haliburton,"$4,023,600"
242,Tyler Herro,"$4,004,280"
